OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
1.63,512220.0,1.48,"Sep 26, 2011 00:00:00",1.63,1.48
1.5,57060.0,1.5,"Sep 28, 2011 00:00:00",1.51,1.5
1.51,13590.0,1.51,"Oct 03, 2011 00:00:00",1.51,1.51
1.52,51660.0,1.5,"Oct 05, 2011 00:00:00",1.52,1.5
1.51,60610.0,1.8,"Oct 11, 2011 00:00:00",1.8,1.51
1.53,3060.0,1.53,"Oct 18, 2011 00:00:00",1.53,1.53
1.61,48300.0,1.61,"Oct 19, 2011 00:00:00",1.61,1.61
1.6,16000.0,1.6,"Oct 20, 2011 00:00:00",1.6,1.6
1.6,1600.0,1.6,"Oct 21, 2011 00:00:00",1.6,1.6
1.6,91940.0,1.58,"Oct 24, 2011 00:00:00",1.6,1.58
1.68,16800.0,1.68,"Oct 25, 2011 00:00:00",1.68,1.68
1.7,25500.0,1.7,"Oct 28, 2011 00:00:00",1.7,1.7
1.68,174800.0,1.66,"Nov 02, 2011 00:00:00",1.68,1.66
1.6,160000.0,1.6,"Nov 04, 2011 00:00:00",1.6,1.6
1.66,1827580.0,1.5,"Nov 09, 2011 00:00:00",1.66,1.5
1.6,158600.0,1.58,"Nov 10, 2011 00:00:00",1.6,1.58
1.54,15400.0,1.54,"Nov 16, 2011 00:00:00",1.54,1.54
1.55,695980.0,1.5,"Nov 22, 2011 00:00:00",1.55,1.5
1.63,132580.0,1.65,"Nov 23, 2011 00:00:00",1.7,1.63
1.54,179490.0,1.5,"Nov 25, 2011 00:00:00",1.65,1.5
1.51,78800.0,1.52,"Nov 28, 2011 00:00:00",1.55,1.51
1.55,1550.0,1.55,"Dec 01, 2011 00:00:00",1.55,1.55
1.53,10550.0,1.5,"Dec 05, 2011 00:00:00",1.53,1.5
1.51,25670.0,1.51,"Dec 06, 2011 00:00:00",1.51,1.51
1.52,3040.0,1.52,"Dec 07, 2011 00:00:00",1.52,1.52
1.52,27360.0,1.52,"Dec 08, 2011 00:00:00",1.52,1.52
1.53,7650.0,1.53,"Dec 12, 2011 00:00:00",1.53,1.53
1.52,53080.0,1.6,"Dec 13, 2011 00:00:00",1.6,1.5
1.6,48000.0,1.6,"Dec 15, 2011 00:00:00",1.6,1.6
1.54,3178560.0,1.54,"Dec 21, 2011 00:00:00",1.54,1.54
1.54,290260.0,1.5,"Dec 22, 2011 00:00:00",1.54,1.5
1.5,195000.0,1.5,"Dec 23, 2011 00:00:00",1.5,1.5
1.45,73260.0,1.45,"Dec 26, 2011 00:00:00",1.45,1.42
1.45,100050.0,1.45,"Dec 28, 2011 00:00:00",1.45,1.45
1.43,65780.0,1.59,"Jan 03, 2012 00:00:00",1.59,1.43
1.59,580100.0,1.6,"Jan 04, 2012 00:00:00",1.61,1.59
1.6,273600.0,1.58,"Jan 05, 2012 00:00:00",1.6,1.58
1.59,186300.0,1.68,"Jan 06, 2012 00:00:00",1.68,1.59
1.59,525280.0,1.61,"Jan 10, 2012 00:00:00",1.65,1.59
1.6,5729900.0,1.92,"Jan 11, 2012 00:00:00",2.0,1.6
1.92,218190.0,1.72,"Jan 12, 2012 00:00:00",1.92,1.71
1.7,1706850.0,1.76,"Jan 13, 2012 00:00:00",1.91,1.7
1.76,141390.0,1.76,"Jan 16, 2012 00:00:00",1.79,1.76
1.76,146520.0,1.75,"Jan 17, 2012 00:00:00",1.77,1.72
1.73,5190.0,1.73,"Jan 18, 2012 00:00:00",1.73,1.73
1.75,307490.0,1.8,"Jan 19, 2012 00:00:00",1.8,1.73
1.72,79690.0,1.79,"Jan 20, 2012 00:00:00",1.79,1.7
1.73,222050.0,1.72,"Jan 24, 2012 00:00:00",1.74,1.72
1.74,206560.0,1.79,"Jan 25, 2012 00:00:00",1.81,1.74
1.75,24500.0,1.75,"Jan 26, 2012 00:00:00",1.75,1.75
1.71,6840.0,1.71,"Jan 27, 2012 00:00:00",1.71,1.71
1.79,8950.0,1.79,"Jan 30, 2012 00:00:00",1.79,1.79
1.72,67790.0,1.72,"Jan 31, 2012 00:00:00",1.79,1.72
1.75,117250.0,1.75,"Feb 01, 2012 00:00:00",1.75,1.75
1.75,1837640.0,1.87,"Feb 02, 2012 00:00:00",1.9,1.75
1.89,261990.0,1.85,"Feb 03, 2012 00:00:00",1.89,1.75
1.75,136400.0,1.7,"Feb 06, 2012 00:00:00",1.81,1.7
1.8,53250.0,1.71,"Feb 07, 2012 00:00:00",1.8,1.71
1.71,22150.0,1.7,"Feb 08, 2012 00:00:00",1.71,1.7
1.72,36110.0,1.71,"Feb 09, 2012 00:00:00",1.72,1.71
1.72,78300.0,1.75,"Feb 10, 2012 00:00:00",1.75,1.72
1.72,13800.0,1.8,"Feb 14, 2012 00:00:00",1.8,1.71
1.79,351890.0,1.71,"Feb 16, 2012 00:00:00",1.81,1.71
1.72,18920.0,1.72,"Feb 17, 2012 00:00:00",1.72,1.72
1.72,36070.0,1.71,"Feb 20, 2012 00:00:00",1.72,1.71
1.71,276750.0,1.71,"Feb 21, 2012 00:00:00",1.75,1.71
1.71,396200.0,1.7,"Feb 22, 2012 00:00:00",1.71,1.7
1.77,3793650.0,1.78,"Feb 23, 2012 00:00:00",1.83,1.66
1.69,59350.0,1.69,"Feb 24, 2012 00:00:00",1.7,1.69
1.67,6670.0,1.67,"Feb 29, 2012 00:00:00",1.67,1.66
1.65,18150.0,1.65,"Mar 01, 2012 00:00:00",1.65,1.65
1.65,82940.0,1.8,"Mar 02, 2012 00:00:00",1.8,1.65
1.67,237870.0,1.69,"Mar 05, 2012 00:00:00",1.72,1.67
1.75,14000.0,1.75,"Mar 06, 2012 00:00:00",1.75,1.75
1.68,13140.0,1.63,"Mar 07, 2012 00:00:00",1.68,1.63
1.64,52480.0,1.64,"Mar 12, 2012 00:00:00",1.64,1.64
1.65,90950.0,1.65,"Mar 14, 2012 00:00:00",1.69,1.65
1.63,158920.0,1.6,"Mar 15, 2012 00:00:00",1.63,1.6
1.62,37260.0,1.62,"Mar 16, 2012 00:00:00",1.62,1.62
1.64,8200.0,1.64,"Mar 19, 2012 00:00:00",1.64,1.64
1.64,178800.0,1.64,"Mar 20, 2012 00:00:00",1.64,1.62
1.65,616210.0,1.75,"Mar 21, 2012 00:00:00",1.8,1.63
1.74,3881650.0,1.8,"Mar 22, 2012 00:00:00",1.95,1.74
1.8,280230.0,1.71,"Mar 23, 2012 00:00:00",1.8,1.7
1.66,241100.0,1.75,"Mar 26, 2012 00:00:00",1.75,1.65
1.65,39000.0,1.75,"Mar 27, 2012 00:00:00",1.75,1.65
1.69,240410.0,1.68,"Mar 28, 2012 00:00:00",1.69,1.68
1.67,353600.0,1.65,"Mar 29, 2012 00:00:00",1.67,1.65
1.64,124540.0,1.66,"Mar 30, 2012 00:00:00",1.71,1.64
1.64,144460.0,1.65,"Apr 02, 2012 00:00:00",1.65,1.64
1.65,178670.0,1.63,"Apr 04, 2012 00:00:00",1.65,1.63
1.63,109550.0,1.61,"Apr 10, 2012 00:00:00",1.63,1.61
1.68,41400.0,1.62,"Apr 12, 2012 00:00:00",1.68,1.62
1.6,125310.0,1.6,"Apr 13, 2012 00:00:00",1.65,1.6
1.61,88050.0,1.6,"Apr 16, 2012 00:00:00",1.61,1.6
1.6,135360.0,1.58,"Apr 17, 2012 00:00:00",1.6,1.58
1.58,15800.0,1.58,"Apr 18, 2012 00:00:00",1.58,1.58
1.6,123200.0,1.6,"Apr 19, 2012 00:00:00",1.6,1.6
1.6,48000.0,1.6,"Apr 20, 2012 00:00:00",1.6,1.6
1.6,49970.0,1.56,"Apr 23, 2012 00:00:00",1.6,1.56
1.52,195020.0,1.53,"Apr 24, 2012 00:00:00",1.55,1.52
1.55,240200.0,1.55,"Apr 25, 2012 00:00:00",1.55,1.54
1.56,93100.0,1.55,"Apr 26, 2012 00:00:00",1.56,1.55
1.57,78900.0,1.58,"Apr 27, 2012 00:00:00",1.58,1.57
1.54,73250.0,1.51,"Apr 30, 2012 00:00:00",1.54,1.51
1.51,75500.0,1.51,"May 03, 2012 00:00:00",1.51,1.51
1.52,240210.0,1.5,"May 04, 2012 00:00:00",1.52,1.5
1.5,150000.0,1.5,"May 07, 2012 00:00:00",1.5,1.5
1.5,75000.0,1.5,"May 08, 2012 00:00:00",1.5,1.5
1.5,68020.0,1.48,"May 09, 2012 00:00:00",1.5,1.46
1.46,43560.0,1.45,"May 10, 2012 00:00:00",1.46,1.45
1.47,52350.0,1.45,"May 16, 2012 00:00:00",1.47,1.45
1.41,7010.0,1.4,"May 17, 2012 00:00:00",1.41,1.4
1.4,42300.0,1.42,"May 18, 2012 00:00:00",1.42,1.4
1.42,1420.0,1.42,"May 21, 2012 00:00:00",1.42,1.42
1.42,1420.0,1.42,"May 23, 2012 00:00:00",1.42,1.42
1.41,116650.0,1.3,"May 25, 2012 00:00:00",1.41,1.3
1.38,5520.0,1.38,"May 28, 2012 00:00:00",1.38,1.38
1.38,1380.0,1.38,"May 29, 2012 00:00:00",1.38,1.38
1.45,41980.0,1.39,"May 30, 2012 00:00:00",1.55,1.39
1.39,48650.0,1.39,"May 31, 2012 00:00:00",1.39,1.39
1.55,151620.0,1.62,"Jun 01, 2012 00:00:00",1.62,1.55
1.62,82270.0,1.55,"Jun 04, 2012 00:00:00",1.62,1.55
1.42,576230.0,1.32,"Jun 08, 2012 00:00:00",1.55,1.2
1.33,5320.0,1.33,"Jun 11, 2012 00:00:00",1.33,1.33
1.32,1320.0,1.32,"Jun 13, 2012 00:00:00",1.32,1.32
1.33,174500.0,1.35,"Jun 15, 2012 00:00:00",1.5,1.33
1.4,126500.0,1.4,"Jun 18, 2012 00:00:00",1.5,1.35
1.39,55390.0,1.38,"Jun 22, 2012 00:00:00",1.4,1.36
1.36,13600.000000000002,1.36,"Jun 25, 2012 00:00:00",1.36,1.36
1.35,4050.0,1.35,"Jun 26, 2012 00:00:00",1.35,1.35
1.36,114810.0,1.35,"Jun 27, 2012 00:00:00",1.36,1.35
1.35,84300.0,1.45,"Jun 28, 2012 00:00:00",1.45,1.35
1.42,238810.0,1.5,"Jun 29, 2012 00:00:00",1.52,1.42
1.5,8860.0,1.36,"Jul 02, 2012 00:00:00",1.5,1.36
1.52,324700.0,1.37,"Jul 03, 2012 00:00:00",1.52,1.37
1.5,1500.0,1.5,"Jul 04, 2012 00:00:00",1.5,1.5
1.37,11010.0,1.48,"Jul 05, 2012 00:00:00",1.48,1.36
1.36,18630.0,1.32,"Jul 06, 2012 00:00:00",1.36,1.32
1.48,14800.0,1.48,"Jul 09, 2012 00:00:00",1.48,1.48
1.48,83660.0,1.52,"Jul 11, 2012 00:00:00",1.52,1.48
1.52,99660.0,1.54,"Jul 12, 2012 00:00:00",1.54,1.52
1.54,476290.0,1.66,"Jul 13, 2012 00:00:00",1.66,1.54
1.66,16180.0,1.6,"Jul 16, 2012 00:00:00",1.66,1.6
1.59,115830.0,1.48,"Jul 18, 2012 00:00:00",1.59,1.4
1.39,16620.0,1.38,"Jul 19, 2012 00:00:00",1.39,1.38
1.38,27370.0,1.34,"Jul 20, 2012 00:00:00",1.45,1.34
1.58,47620.0,1.6,"Jul 23, 2012 00:00:00",1.6,1.58
1.52,24320.0,1.52,"Jul 24, 2012 00:00:00",1.52,1.52
1.6,3190.0,1.59,"Jul 25, 2012 00:00:00",1.6,1.59
1.6,3190.0,1.59,"Jul 26, 2012 00:00:00",1.6,1.59
1.6,354470.0,1.46,"Jul 27, 2012 00:00:00",1.67,1.43
1.59,120270.0,1.46,"Jul 30, 2012 00:00:00",1.6,1.46
1.47,71990.0,1.46,"Jul 31, 2012 00:00:00",1.5,1.46
1.44,209960.0,1.5,"Aug 01, 2012 00:00:00",1.5,1.41
1.5,1500.0,1.5,"Aug 02, 2012 00:00:00",1.5,1.5
1.43,49730.0,1.42,"Aug 03, 2012 00:00:00",1.43,1.42
1.54,1540.0,1.54,"Aug 08, 2012 00:00:00",1.54,1.54
1.39,407270.0,1.41,"Aug 09, 2012 00:00:00",1.41,1.35
1.52,1520.0,1.52,"Aug 10, 2012 00:00:00",1.52,1.52
1.38,8400.0,1.52,"Aug 14, 2012 00:00:00",1.52,1.37
1.54,1540.0,1.54,"Aug 16, 2012 00:00:00",1.54,1.54
1.35,16198650.0,1.35,"Aug 23, 2012 00:00:00",1.35,1.35
1.37,40810.0,1.36,"Aug 30, 2012 00:00:00",1.37,1.36
1.4,28000.0,1.4,"Aug 31, 2012 00:00:00",1.4,1.4
1.36,8360.0,1.4,"Sep 03, 2012 00:00:00",1.4,1.36
1.4,21000.0,1.4,"Sep 04, 2012 00:00:00",1.4,1.4
1.31,3930.0,1.31,"Sep 06, 2012 00:00:00",1.31,1.31
1.4,28000.0,1.4,"Sep 07, 2012 00:00:00",1.4,1.4
1.38,4140.0,1.38,"Sep 10, 2012 00:00:00",1.38,1.38
1.37,30140.000000000004,1.37,"Sep 12, 2012 00:00:00",1.37,1.37
1.35,14460.0,1.31,"Sep 14, 2012 00:00:00",1.35,1.31
1.47,102900.0,1.47,"Sep 19, 2012 00:00:00",1.47,1.47
