cmpy_id,security_id,name,symbol,sector,subsector,listing_date
151,161,"San Miguel Food and Beverage, Inc.",FB,Industrial,"Food, Beverage & Tobacco","Apr 02, 1973"
156,223,Seafront Resources Corporation,SPM,Holding Firms,Holding Firms,"May 07, 1974"
32,114,Security Bank Corporation,SECB,Financials,Banks,"Jun 08, 1995"
157,396,Semirara Mining and Power Corporation,SCC,Mining and Oil,Mining,"Nov 28, 1983"
664,631,"Shakey's Pizza Asia Ventures, Inc.",PIZZA,Industrial,Food Beverage & Tobacco,"Dec 15, 2016"
218,301,"Shang Properties, Inc.",SHNG,Property,Property,"Jun 13, 1991"
160,224,"Solid Group, Inc.",SGI,Holding Firms,Holding Firms,"Apr 26, 1948"
41,417,"Sta. Lucia Land, Inc.",SLI,Property,Property,"Sep 14, 1987"
164,249,Steniel Manufacturing Corporation,STN,Industrial,Other Industrials,"Nov 22, 1993"
78,122,Sun Life Financial Inc.,SLF,Financials,Other Financial Institutions,"Mar 24, 2000"
73,254,"Suntrust Home Developers, Inc.",SUN,Property,Property,"Feb 11, 1959"
479,513,Supercity Realty Development Corporation,SRDC,Industrial,"Construction, Infra. & Allied Services","Dec 19, 2003"
165,402,"Swift Foods, Inc.",SFI,Industrial,"Food, Beverage & Tobacco","Nov 15, 1994"
166,385,"Synergy Grid & Development Phils., Inc.",SGP,Holding Firms,Holding Firms,"May 10, 1972"
163,418,TKC Metals Corporation,T,Industrial,"Construction, Infra. & Allied Services","Jul 20, 2001"
2,150,"The Keepers Holdings, Inc.",KEEPR,Industrial,"Construction, Infra. & Allied Services","Sep 03, 1991"
478,512,"The Philippine Stock Exchange, Inc.",PSE,Financials,Other Financial Institutions,"Dec 15, 2003"
45,341,The Philodrill Corporation,OV,Mining and Oil,Oil,"Sep 25, 1969"
650,595,"Top Frontier Investment Holdings, Inc.",TFHI,Holding Firms,Holding Firms,"Jan 13, 2014"
269,511,Transpacific Broadband Group Int`l. Inc.,TBGI,Services,Information Technology,"Dec 12, 2003"
92,227,"Unioil Resources & Holdings Company, Inc.",UNI,Holding Firms,Holding Firms,"Jul 27, 1987"
167,115,Union Bank of the Philippines,UBP,Financials,Banks,"Jun 29, 1992"
168,334,United Paragon Mining Corporation,UPM,Mining and Oil,Mining,"Apr 02, 1973"
124,167,Universal Robina Corporation,URC,Industrial,"Food, Beverage & Tobacco","Mar 25, 1994"
65,135,"Vantage Equities, Inc.",V,Financials,Other Financial Institutions,"Mar 30, 1993"
123,415,"Victorias Milling Company, Inc.",VMC,Industrial,"Food, Beverage & Tobacco","Nov 15, 1993"
607,530,"Vista Land & Lifescapes, Inc.",VLL,Property,Property,"Jun 25, 2007"
147,333,"Vistamalls, Inc.",STR,Property,Property,"Nov 17, 1970"
28,168,Vitarich Corporation,VITA,Industrial,"Food, Beverage & Tobacco","Feb 08, 1995"
79,133,Vivant Corporation,VVT,Industrial,"Electricity, Energy, Power & Water","Jun 23, 1994"
46,346,Vulcan Industrial & Mining Corporation,VUL,Industrial,"Construction, Infra. & Allied Services","Aug 31, 1970"
173,228,"Waterfront Philippines, Incorporated",WPI,Services,Hotel & Leisure,"Mar 17, 1995"
90,229,"Wellex Industries, Incorporated",WIN,Holding Firms,Holding Firms,"Jan 09, 1958"
665,632,"Wilcon Depot, Inc.",WLCON,Services,Retail,"Mar 31, 2017"
656,607,Xurpas Inc.,X,"Small, Medium & Emerging Board","Small, Medium & Emerging Board","Dec 02, 2014"
89,232,"Zeus Holdings, Inc.",ZHI,Holding Firms,Holding Firms,"Jul 15, 1991"
85,205,"iPeople, inc.",IPO,Services,Education,"Jan 24, 1990"
