symbol,date,open,high,low,close,average,volume,value
AP,"Oct 13, 2021",30.7,31.9,29.65,30.0,31.03,11601000,359974215.0
AP,"Oct 12, 2021",30.6,31.25,30.6,30.7,30.98,1924600,59619980.0
AP,"Oct 11, 2021",29.65,31.15,29.65,31.0,30.84,3723900,114839230.0
AP,"Oct 08, 2021",29.75,30.6,29.5,29.55,29.96,3763400,112767680.0
AP,"Oct 07, 2021",30.45,30.65,29.55,29.6,30.05,4920700,147862310.0
AP,"Oct 06, 2021",29.75,30.75,29.5,30.65,30.41,5912600,179819075.0
AP,"Oct 05, 2021",30.55,30.55,29.0,29.3,29.52,11094500,327455720.0
AP,"Oct 04, 2021",31.65,31.65,30.55,30.55,30.84,4907100,151353690.0
AP,"Oct 01, 2021",30.9,32.15,30.65,31.65,31.52,5341900,168371055.0
AP,"Sep 30, 2021",30.5,31.5,30.25,31.0,31.02,3562300,110487540.0
AP,"Sep 29, 2021",30.95,31.75,29.6,29.8,30.08,13337500,401184265.0
AP,"Sep 28, 2021",33.85,33.85,30.9,30.9,32.32,18835400,608671500.0
AP,"Sep 27, 2021",33.7,35.1,33.55,34.2,34.34,8806800,302402870.0
AP,"Sep 24, 2021",32.15,32.8,31.95,32.65,32.31,2342200,75671550.0
AP,"Sep 23, 2021",32.6,33.1,32.05,32.05,32.48,2547500,82736735.0
AP,"Sep 22, 2021",32.0,32.5,31.95,32.3,32.18,3019100,97165250.0
AP,"Sep 21, 2021",32.2,32.8,31.7,32.1,32.08,5719500,183495425.0
AP,"Sep 20, 2021",32.5,33.45,31.85,33.45,32.54,7995700,260170400.0
AP,"Sep 17, 2021",31.75,33.25,31.75,32.65,32.71,12481300,408313455.0
AP,"Sep 16, 2021",30.4,31.8,30.3,31.6,31.3,7810100,244423515.0
AP,"Sep 15, 2021",28.8,30.3,28.8,30.3,29.85,9138600,272822960.0
AP,"Sep 14, 2021",28.85,29.1,28.8,28.8,28.9,2010500,58096235.0
AP,"Sep 13, 2021",29.0,29.2,28.8,28.85,28.91,1840700,53212040.0
AP,"Sep 10, 2021",29.1,29.15,28.9,29.1,29.07,1645500,47834715.0
AP,"Sep 09, 2021",28.95,29.15,28.8,29.05,29.03,2469500,71697355.0
AP,"Sep 08, 2021",28.65,29.25,28.5,28.95,28.87,3083000,88996865.0
AP,"Sep 07, 2021",28.65,28.75,28.4,28.65,28.6,3801800,108743840.0
AP,"Sep 06, 2021",29.05,29.05,28.4,28.8,28.61,3658800,104669775.0
AP,"Sep 03, 2021",29.3,29.8,28.95,29.1,29.37,6841000,200938285.0
AP,"Sep 02, 2021",28.55,29.3,28.1,29.3,28.84,9563800,275799205.0
